area,population,sex,income,age
Kowloon City - Kowloon Tong,Female,12871,5070,41.5
Kowloon City - Kowloon Tong,Sub-Total,21228,20000,41.7
Kowloon City - Lung Shing,Male,6914,18000,40.7
Kowloon City - Lung Shing,Female,8354,11810,39.9
Kowloon City - Lung Shing,Sub-Total,15268,15000,40.3
Kowloon City - Sung Wong Toi,Male,10016,15500,38.2
Kowloon City - Sung Wong Toi,Female,12235,12000,38.3
Kowloon City - Sung Wong Toi,Sub-Total,22251,13800,38.3
Kowloon City - Kai Tak North,Male,8129,12000,44.6
Kowloon City - Kai Tak North,Female,8012,10250,43.9
Kowloon City - Kai Tak North,Sub-Total,16141,11000,44.2
Kowloon City - Kai Tak South,Male,6779,13500,44
Kowloon City - Kai Tak South,Female,8134,10500,41.5
Kowloon City - Kai Tak South,Sub-Total,14913,12000,42.7
Kowloon City - Hoi Sham,Male,7994,15500,40.2
Kowloon City - Hoi Sham,Female,7658,12000,43.3
Kowloon City - Hoi Sham,Sub-Total,15652,14500,41.8
Kowloon City - To Kwa Wan North,Male,7700,12150,41.8
Kowloon City - To Kwa Wan North,Female,7991,10080,41.8
Kowloon City - To Kwa Wan North,Sub-Total,15691,11000,41.8
Kowloon City - To Kwa Wan South,Male,7235,16000,40.2
Kowloon City - To Kwa Wan South,Female,7602,13500,41.5
Kowloon City - To Kwa Wan South,Sub-Total,14837,15000,40.8
Kowloon City - Hok Yuen Laguna Verde,Male,8737,30000,42.2
Kowloon City - Hok Yuen Laguna Verde,Female,10753,15000,38.9
Kowloon City - Hok Yuen Laguna Verde,Sub-Total,19490,20000,40.2
Kowloon City - Whampoa East,Male,7765,28000,43.1
Kowloon City - Whampoa East,Female,9997,15000,43.3
Kowloon City - Whampoa East,Sub-Total,17762,20000,43.2
Kowloon City - Whampoa West,Male,9210,31250,40.2
Kowloon City - Whampoa West,Female,12986,16000,36.6
Kowloon City - Whampoa West,Sub-Total,22196,22000,37.8
Kowloon City - Hung Hom Bay,Male,8635,20000,38.1
Kowloon City - Hung Hom Bay,Female,10298,13210,39.2
Kowloon City - Hung Hom Bay,Sub-Total,18933,16000,38.7
Kowloon City - Hung Hom,Male,7036,14000,35.5
Kowloon City - Hung Hom,Female,7199,12000,39.9
Kowloon City - Hung Hom,Sub-Total,14235,13500,38.3
Kowloon City - Ka Wai,Male,8982,15000,50.2
Kowloon City - Ka Wai,Female,10615,11000,49.1
Kowloon City - Ka Wai,Sub-Total,19597,13000,49.4
Kowloon City - Oi Man,Male,6780,15000,47.1
Kowloon City - Oi Man,Female,7855,11250,45.5
Kowloon City - Oi Man,Sub-Total,14635,14000,46.1
